dataset,metadata,hasDocWeight,maximum,mean,minimum,standardDeviation,sum,uniqueCount
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,12,12.0,12,0.0,1200000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,65,65.0,65,0.0,6500000,1800107
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,57,56.05786,54,0.6091077247910989,5605786,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,13,12.05786,10,0.609107724790959,1205786,102024
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,115,115.0,115,0.0,11500000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,100000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,30,30.0,30,0.0,3000000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,2,2.0,2,0.0,200000,2
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,11,10.05786,8,0.6091077247909473,1005786,102022
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,57,56.05786,54,0.6091077247910989,5605786,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,31,31.0,31,0.0,3100000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,2,2.0,2,0.0,200000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,116,116.0,116,0.0,11600000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,67,67.0,67,0.0,6700000,100071
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,13,12.05786,10,0.609107724790959,1205786,102024
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
